assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
3165925,10108,Hipposideros ridleyi,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3165925,10108,Hipposideros ridleyi,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3165925,10108,Hipposideros ridleyi,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3165925,10108,Hipposideros ridleyi,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3169035,10125,Hipposideros curtus,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3169035,10125,Hipposideros curtus,6.3,Work & other activities,2.2,Species disturbance,,,,,,,Ongoing,
3169035,10125,Hipposideros curtus,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3169035,10125,Hipposideros curtus,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3169035,10125,Hipposideros curtus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3169728,10127,Hipposideros demissus,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3170436,10130,Hipposideros doriae,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3170436,10130,Hipposideros doriae,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3170436,10130,Hipposideros doriae,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3170436,10130,Hipposideros doriae,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3172921,10140,Hipposideros jonesi,6.3,Work & other activities,2.2,Species disturbance,,,,,,,Ongoing,
3173193,10141,Hipposideros lamottei,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3173193,10141,Hipposideros lamottei,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3173193,10141,Hipposideros lamottei,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3175165,10149,Hipposideros marisae,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3175165,10149,Hipposideros marisae,6.3,Work & other activities,2.2,Species disturbance,,,,,,,Ongoing,
3175165,10149,Hipposideros marisae,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3177675,10161,Hipposideros sorenseni,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Future,
3198943,10543,Hylobates agilis,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3198943,10543,Hylobates agilis,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3198943,10543,Hylobates agilis,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3198943,10543,Hylobates agilis,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3198943,10543,Hylobates agilis,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3198943,10543,Hylobates agilis,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3198943,10543,Hylobates agilis,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199263,10547,Hylobates klossii,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199263,10547,Hylobates klossii,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199263,10547,Hylobates klossii,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3199263,10547,Hylobates klossii,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199263,10547,Hylobates klossii,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3199263,10547,Hylobates klossii,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199623,10548,Hylobates lar,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199623,10548,Hylobates lar,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199623,10548,Hylobates lar,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3199623,10548,Hylobates lar,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199623,10548,Hylobates lar,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3199623,10548,Hylobates lar,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199941,10550,Hylobates moloch,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199941,10550,Hylobates moloch,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3199941,10550,Hylobates moloch,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3199941,10550,Hylobates moloch,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3199941,10550,Hylobates moloch,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3200582,10552,Hylobates pileatus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3231434,10966,Kerivoula africana,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3231434,10966,Kerivoula africana,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3232098,10970,Phoniscus atrox,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3232098,10970,Phoniscus atrox,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3232098,10970,Phoniscus atrox,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3232098,10970,Phoniscus atrox,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3232793,10973,Kerivoula flora,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3232793,10973,Kerivoula flora,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3233370,10975,Kerivoula intermedia,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3233370,10975,Kerivoula intermedia,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3233370,10975,Kerivoula intermedia,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3233370,10975,Kerivoula intermedia,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3234174,10978,Kerivoula minuta,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3234174,10978,Kerivoula minuta,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3234174,10978,Kerivoula minuta,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3234174,10978,Kerivoula minuta,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3234174,10978,Kerivoula minuta,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3235519,10983,Kerivoula pellucida,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3259920,11175,Lagothrix lagothricha,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3259920,11175,Lagothrix lagothricha,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3259920,11175,Lagothrix lagothricha,2.3.3,"Agro-industry grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3259920,11175,Lagothrix lagothricha,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3259920,11175,Lagothrix lagothricha,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3259920,11175,Lagothrix lagothricha,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3274238,11374,Latidens salimalii,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3274238,11374,Latidens salimalii,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3274238,11374,Latidens salimalii,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3274238,11374,Latidens salimalii,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3274238,11374,Latidens salimalii,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3288917,1151,Ammotragus lervia,11.2,Droughts,1.2,Ecosystem degradation,,,,,,,Ongoing,
3288917,1151,Ammotragus lervia,2.3.1,Nomadic grazing,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3288917,1151,Ammotragus lervia,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3288917,1151,Ammotragus lervia,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3288917,1151,Ammotragus lervia,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,,,,,,,Ongoing,
3288917,1151,Ammotragus lervia,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3288917,1151,Ammotragus lervia,8.1.2,Named species,1.2|2.3.7,Ecosystem degradation|Reduced reproductive success,,Camelus dromedarius,,,,,Ongoing,
3289886,11503,Leontopithecus caissara,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3289886,11503,Leontopithecus caissara,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3289886,11503,Leontopithecus caissara,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3289886,11503,Leontopithecus caissara,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3289886,11503,Leontopithecus caissara,5.2.4,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3289886,11503,Leontopithecus caissara,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3290864,11505,Leontopithecus chrysopygus,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3290864,11505,Leontopithecus chrysopygus,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3290864,11505,Leontopithecus chrysopygus,2.3.3,"Agro-industry grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3290864,11505,Leontopithecus chrysopygus,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,4.2,Utility & service lines,1.2,Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,4.1,Roads & railroads,2.1,Species mortality,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3338689,12375,Loris tardigradus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,6.2,"War, civil unrest & military exercises",1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,11.2,Droughts,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,4.1,Roads & railroads,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,6.1,Recreational activities,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,8.1.1,Unspecified species,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,7.1.3,Trend Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,5.1.2,Unintentional effects (species is not the target),2.1,Species mortality,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,5.1.3,Persecution/control,2.1,Species mortality,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.3.3,"Agro-industry grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.3.1,Nomadic grazing,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3339343,12392,Loxodonta africana,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,4.2,Utility & service lines,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,5.1.2,Unintentional effects (species is not the target),2.1,Species mortality,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354519,12548,Macaca arctoides,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,5.1.3,Persecution/control,2.1,Species mortality,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,8.1.1,Unspecified species,1.2,Ecosystem degradation,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3354977,12549,Macaca assamensis,8.2.1,Unspecified species,2.3.1,Hybridisation,,,,,,,Ongoing,
3356200,12553,Macaca maura,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3356200,12553,Macaca maura,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3356200,12553,Macaca maura,5.1.3,Persecution/control,2.1,Species mortality,,,,,,,Ongoing,
3356200,12553,Macaca maura,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3356200,12553,Macaca maura,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3356200,12553,Macaca maura,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3356892,12555,Macaca nemestrina,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3356892,12555,Macaca nemestrina,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3356892,12555,Macaca nemestrina,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3356892,12555,Macaca nemestrina,5.1.3,Persecution/control,2.1,Species mortality,,,,,,,Ongoing,
3356892,12555,Macaca nemestrina,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3356892,12555,Macaca nemestrina,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3356892,12555,Macaca nemestrina,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357272,12556,Macaca nigra,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3357272,12556,Macaca nigra,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357272,12556,Macaca nigra,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357272,12556,Macaca nigra,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3357272,12556,Macaca nigra,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357511,12557,Macaca ochreata,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357511,12557,Macaca ochreata,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357511,12557,Macaca ochreata,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357511,12557,Macaca ochreata,5.1.3,Persecution/control,2.1,Species mortality,,,,,,,Ongoing,
3357511,12557,Macaca ochreata,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357511,12557,Macaca ochreata,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3357511,12557,Macaca ochreata,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3358033,12559,Macaca silenus,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
3358033,12559,Macaca silenus,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
3358033,12559,Macaca silenus,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
